Vp	Vs	Depth
1.4	0.00	0.00
1.4	0.00	3.00
5.8	3.20	3.00
5.8	3.20	15.00
6.8	3.90	15.00
6.8	3.90	24.40
8.1	4.49	24.40
8.1	4.47	71.00
8.1	4.47	80.00
8.1	4.47	80.00
8.0	4.44	171.00
8.0	4.42	220.00
8.6	4.64	220.00
8.7	4.68	271.00
8.8	4.75	371.00
8.9	4.77	400.00
9.1	4.93	400.00
9.5	5.14	471.00
10.0	5.43	571.00
10.2	5.52	600.00
10.2	5.52	600.00
10.3	5.57	670.00
10.8	5.95	670.00
11.1	6.24	771.00
11.2	6.31	871.00
11.4	6.38	971.00
11.6	6.44	1071.00
11.7	6.50	1171.00
11.9	6.56	1271.00
12.0	6.62	1371.00
12.2	6.67	1471.00
12.3	6.73	1571.00
12.4	6.78	1671.00
12.5	6.83	1771.00
12.7	6.87	1871.00
12.8	6.92	1971.00
12.9	6.97	2071.00
13.0	7.01	2171.00
13.1	7.06	2271.00
13.2	7.10	2371.00
13.4	7.14	2471.00
13.5	7.19	2571.00
13.6	7.23	2671.00
13.7	7.27	2741.00
13.7	7.27	2771.00
13.7	7.26	2871.00
13.7	7.26	2891.00
